"filename", "language", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\adminForm.html", "HTML", -210, 0, 0, -7, -37, -254
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\adminUserManagement.html", "HTML", -368, 0, 0, -4, -48, -420
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\chsd-mis-79b43ccc3955.json", "JSON", 0, 0, -13, 0, -1, -14
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\customClaims.js", "JavaScript", 0, -54, 0, -5, -14, -73
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\eventListeners.js", "JavaScript", 0, -19, 0, -3, -4, -26
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\firebaseconfig.js", "JavaScript", 0, -16, 0, -3, -4, -23
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\Admin\userManagement.js", "JavaScript", 0, -29, 0, -6, -9, -44
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\InformalSettlersApplication.html", "HTML", -1048, 0, 0, -21, -181, -1250
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\InformalSettlersReport.html", "HTML", -470, 0, 0, -10, -77, -557
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\InformalSettlersUserManager.html", "HTML", -120, 0, 0, -7, -22, -149
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\adminDashboardInformalSettlers.html", "HTML", -321, 0, 0, -5, -24, -350
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\followup.html", "HTML", -137, 0, 0, -5, -26, -168
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\nav5.html", "HTML", -47, 0, 0, -5, -6, -58
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\InformalSettlers\nav5.js", "JavaScript", 0, -8, 0, 0, 0, -8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PCLogin.html", "HTML", -38, 0, 0, 0, -3, -41
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\PCsideBar.html", "HTML", -24, 0, 0, 0, -3, -27
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminBuildingPermit.html", "HTML", -1827, 0, 0, -43, -348, -2218
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminCertofElec.html", "HTML", -747, 0, 0, -17, -151, -915
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminCertofOcc.html", "HTML", -928, 0, 0, -27, -187, -1142
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminDashboardP&C.html", "HTML", -292, 0, 0, -7, -34, -333
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCArchive.html", "HTML", -261, 0, 0, -8, -29, -298
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\AdminPages\PermitsAndCert\adminPCForms.html", "HTML", -198, 0, 0, -7, -37, -242
