"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\applicationproto.html", "HTML", 0, 0, -273, -12, -31, -316
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientApplication.html", "HTML", 0, 0, -260, -12, -55, -327
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientBuildingPermit.html", "HTML", 0, 0, -1335, -25, -243, -1603
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientDashboard.html", "HTML", 0, 0, -469, -17, -88, -574
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientElectricalApplication.html", "HTML", 0, 0, -735, -15, -106, -856
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientHousingApplication.html", "HTML", 0, 0, -1420, -16, -256, -1692
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientLogin.html", "HTML", 0, 0, -214, -1, -29, -244
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientNotif.html", "HTML", 0, 0, -219, -10, -40, -269
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientOccupancyApplication.html", "HTML", 0, 0, -865, -16, -135, -1016
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientProfile.html", "HTML", 0, 0, -108, -2, -18, -128
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientRequirements.html", "HTML", 0, 0, -568, -12, -62, -642
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\clientSignup.html", "HTML", 0, 0, -542, -9, -93, -644
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav2.html", "HTML", 0, 0, -51, -5, -7, -63
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav2.js", "JavaScript", -8, 0, 0, 0, 0, -8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav3.html", "HTML", 0, 0, -42, -5, -5, -52
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\nav3.js", "JavaScript", -8, 0, 0, 0, 0, -8
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\navBarScript.js", "JavaScript", 0, 0, 0, 0, -1, -1
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\ClientPages\profileBackup.html", "HTML", 0, 0, -201, -2, -19, -222
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\chsd-mis-79b43ccc3955.json", "JSON", 0, 13, 0, 0, 1, 14
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\chsd-mis-firebase-adminsdk-zwcv4-c37b5b4525.json", "JSON", 0, 13, 0, 0, 1, 14
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\customClaimsOriginal.js", "JavaScript", 51, 0, 0, 9, 8, 68
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\dist\bundle.js", "JavaScript", 138, 0, 0, 75, 55, 268
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\firebase.js", "JavaScript", 853, 0, 0, 78, 197, 1128
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\firebase2.js", "JavaScript", 98, 0, 0, 14, 21, 133
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\updateCustomClaims.js", "JavaScript", 40, 0, 0, 5, 5, 50
"d:\CCC\3rd Year\2nd Sem\Capstone\City Housing and Settlements Department Website\CHSD-MIS\Database\webpack.config.js", "JavaScript", 23, 0, 0, 0, 2, 25
"Total", "-", 1187, 26, -7302, 22, -898, -6965
